open;High;low;close;volume
11,12;11,55;11,12;11,12;4864322
10,76;11,28;10,76;10,76;5520210
10,92;10,98;10,73;10,92;7038886
11,42;11,42;10,86;11,42;7282602
11,44;11,74;11,26;11,44;7075356
11,45;11,45;11,20;11,45;5626819
11,32;11,62;11,32;11,32;5579050
11,02;11,59;11,02;11,02;9052957
11,11;11,44;11,06;11,11;4987451
11,36;11,52;11,05;11,36;5274492
11,99;12,20;11,34;11,99;15516919
11,99;12,26;11,81;11,99;9136485
11,89;12,10;11,63;11,89;5238927
11,61;12,20;11,58;11,61;8977777
11,95;12,02;11,65;11,95;3636771
11,95;12,17;11,85;11,95;4484099
11,88;12,11;11,79;11,88;7243066
12,42;12,47;12,01;12,42;9280424
12,38;12,50;12,10;12,38;5649680
12,47;12,63;12,38;12,47;6171028
12,43;12,68;12,35;12,43;7725094
12,70;12,70;12,30;12,70;5740625
12,66;12,88;12,55;12,66;3606942
12,66;12,87;12,52;12,66;5495031
12,73;12,96;12,56;12,73;7375604
12,61;13,03;12,58;12,61;4553178
12,59;12,76;12,43;12,59;4645576
12,49;12,98;12,45;12,49;5839825
12,21;12,37;12,03;12,21;10162051
12,30;12,39;12,11;12,30;4837911
12,69;12,76;12,31;12,69;7170844
12,50;12,79;12,23;12,50;5119397
12,02;12,55;12,01;12,02;8023518
12,49;12,51;11,98;12,49;5488408
12,50;12,76;12,34;12,50;4927436
12,22;12,67;12,10;12,22;6399696
12,20;12,48;12,10;12,20;14661270
12,78;12,78;12,23;12,78;19668458
12,96;12,99;12,62;12,96;21296220
12,42;12,90;12,42;12,42;3394390
12,60;12,65;12,27;12,60;5933336
13,12;13,19;12,61;13,12;14513281
12,69;13,25;12,69;12,69;5517982
12,83;13,05;12,76;12,83;28080062
12,94;13,11;12,72;12,94;8825369
12,85;13,15;12,70;12,85;10383450
12,98;13,09;12,81;12,98;28749968
12,94;13,35;12,89;12,94;29635394
13,37;13,37;12,80;13,37;25386768
13,75;13,81;13,27;13,75;34784084
13,54;13,79;13,45;13,54;55251620
13,42;13,59;13,36;13,42;31187738
13,04;13,54;13,04;13,04;6415538
13,04;13,38;12,98;13,04;7112268
12,82;12,95;12,58;12,82;20656004
13,26;13,29;12,72;13,26;59868096
13,43;13,70;13,07;13,43;34348792
13,02;13,49;12,93;13,02;11483908
12,75;12,97;12,60;12,75;12361783
12,86;13,14;12,36;12,86;31622784
13,06;13,15;12,86;13,06;9276018
13,36;13,40;12,70;13,36;11143256
13,47;13,58;13,25;13,47;6744348
13,34;13,66;13,29;13,34;8763364
13,58;13,60;13,21;13,58;7308815
13,44;13,64;13,27;13,44;5275414
12,92;13,43;12,90;12,92;7838139
13,01;13,17;12,71;13,01;7019708
12,95;13,38;12,88;12,95;7736590
12,88;12,99;12,76;12,88;7018600
12,88;13,16;12,70;12,88;5303870
13,10;13,24;12,95;13,10;7832604
