bulan,idr/gram
Mei 2014,549000
Juni 2014,557400
Juli 2014,550400
Agustus 2014,550800
September 2014,554667
Oktober 2014,547000
November 2014,539600
Desember 2014,549800
Januari 2015,581166
Februari 2015,564600
Maret 2015,561800
April 2015,568285
Mei 2015,576833
Juni 2015,576166
Juli 2015,567000
Agustus 2015,575500
September 2015,596600
Oktober 2015,582571
November 2015,568857
Desember 2015,567000
Januari 2016,565666
Februari 2016,588500
Maret 2016,588564
April 2016,588000
Mei 2016,606500
Juni 2016,610714
Juli 2016,621285
Agustus 2016,629666
September 2016,624833
Oktober 2016,619500
November 2016,610166
Desember 2016,603600
Januari 2017,610166
Februari 2017,612833
Maret 2017,606571
April 2017,617333
Mei 2017,604833
Juni 2017,606750
Juli 2017,609666
Agustus 2017,619000
September 2017,629000
Oktober 2017,640000
November 2017,638000
Desember 2017,635000
Januari 2018,643000
Februari 2018,658000
Maret 2018,656000
April 2018,673000
Mei 2018,666000
Juni 2018,660000
Juli 2018,656000
Agustus 2018,645000
September 2018,664000
Oktober 2018,679000
November 2018,664000
Desember 2018,664000
Januari 2019,672000
Februari 2019,680000
Maret 2019,675500
April 2019,665000
Mei 2019,674000
Juni 2019,688000
Juli 2019,706000
Agustus 2019,768000
September 2019,762000
Oktober 2019,767000
November 2019,756000
Desember 2019,761000
Januari 2020,777000
Februari 2020,788000
Maret 2020,810000
April 2020,951000
Mei 2020,934000
Juni 2020,895000
Juli 2020,949000
Agustus 2020,1030000
September 2020,1030000
Oktober 2020,1008000
November 2020,980000
Desember 2020,962000
Januari 2021,948000
Februari 2021,930000
Maret 2021,935000
April 2021,937000
Mei 2021,948000
Juni 2021,928000
Juli 2021,950000
Agustus 2021,946000
September 2021,922000
Oktober 2021,914000
November 2021,952000
Desember 2021,924000
Januari 2022,939000
Februari 2022,972000
Maret 2022,991000
April 2022,1006000
Mei 2022,967000
Juni 2022,984000
Juli 2022,967000
Agustus 2022,988000
September 2022,942000
Oktober 2022,940000
November 2022,973000
Desember 2022,1013000
Januari 2023,1032000
Februari 2023,1019000
Maret 2023,1063000
April 2023,1066000
Mei 2023,1057000
Juni 2023,1061000
Juli 2023,1073000
Agustus 2023,1060000
September 2023,1075000
Oktober 2023,1085000
November 2023,1095000
Desember 2023,1114000
Januari 2024,1121000
Februari 2024,1131000
Maret 2024,1193000
April 2024,1321000
