Periode,Data,data1
1,3980,4121
2,4039,4180
3,3878,4019
4,3809,3950
5,3829,3970
6,3798,3939
7,3730,3871
8,3705,3846
9,3701,3842
10,3782,3923
11,3827,3968
12,3759,3900
13,3747,3888
14,3666,3807
15,3617,3758
16,3638,3779
17,3570,3711
18,3598,3739
19,3481,3622
20,3541,3682
21,3616,3757
22,3489,3630
23,3531,3672
24,3703,3844
25,3688,3829
26,3553,3694
27,3586,3727
28,3630,3771
29,3629,3770
30,3604,3745
31,3658,3799
32,3590,3731
33,3524,3665
34,3923,4064
35,3934,4075
36,3781,3922
37,3749,3890
38,3778,3919
39,3783,3924
40,3696,3837
41,3745,3886
42,3652,3793
43,3649,3790
44,3584,3725
45,3458,3599
46,3404,3545
47,3344,3485
48,3410,3551
49,3316,3457
50,3399,3540
51,3415,3556
52,3460,3601
53,3542,3683
54,3364,3505
55,3633,3774
56,3550,3691
57,3648,3789
58,3584,3725
59,3461,3602
60,3487,3628
61,3421,3562
62,3457,3598
63,3317,3458
64,3254,3395
65,3279,3420
66,3136,3277
67,3127,3268
68,3127,3268
69,3096,3237
70,3128,3269
71,3155,3296
72,3169,3310
73,3114,3255
74,3112,3253
75,3084,3225
76,3027,3168
77,2989,3130
78,2993,3134
79,3096,3237
80,2980,3121
81,3062,3203
82,3011,3152
83,2941,3082
84,2774,2915
85,2697,2838
86,2670,2811
87,2488,2629
88,2472,2613
89,2322,2463
90,2343,2484
91,2525,2666
92,2554,2695
93,2729,2870
94,2605,2746
95,2678,2819
96,2713,2854
97,2503,2644
98,2382,2523
99,2554,2695
100,2499,2640
101,2550,2691
102,2472,2613
103,2448,2589
104,2477,2618
105,2477,2618
106,2431,2572
107,2532,2673
108,2425,2566
109,2567,2708
110,2684,2825
111,2626,2767
112,2643,2784
113,2621,2762
114,2550,2691
115,2446,2587
116,2519,2660
117,2616,2757
118,2463,2604
119,2484,2625
120,2355,2496
121,2356,2497
122,2302,2443
123,2272,2413
124,2324,2465
125,2269,2410
126,2299,2440
127,2284,2425
128,2279,2420
129,2326,2467
130,2351,2492
131,2335,2476
132,2360,2501
133,2269,2410
134,2275,2416
135,2226,2367
136,2208,2349
137,2191,2332
138,2149,2290
139,2126,2267
140,2152,2293
141,2187,2328
142,2141,2282
143,2089,2230
144,2107,2248
145,2031,2172
146,1984,2125
147,1983,2124
148,1981,2122
149,2016,2157
150,1951,2092
151,1951,2092
